County,County Code,State,Latitude (generated),Longitude (generated),Compliance Status
WOODFORD,120,Kentucky,38.0212,-84.7437,1
WOLFE,119,Kentucky,37.7403,-83.489,1
WHITLEY,118,Kentucky,36.7804,-84.1636,1
WEBSTER,117,Kentucky,37.4948,-87.7015,1
WAYNE,116,Kentucky,36.8007,-84.8154,1
WASHINGTON,115,Kentucky,37.7743,-85.1824,1
WARREN,114,Kentucky,36.9834,-86.4059,1
UNION,113,Kentucky,37.6855,-87.9466,1
TRIMBLE,112,Kentucky,38.6152,-85.333,1
TRIGG,111,Kentucky,36.8204,-87.9047,1
TODD,110,Kentucky,36.8587,-87.1772,1
TAYLOR,109,Kentucky,37.338,-85.3025,1
SPENCER,108,Kentucky,38.0446,-85.3081,1
SIMPSON,107,Kentucky,36.7631,-86.5716,1
SHELBY,106,Kentucky,38.1963,-85.2104,1
SCOTT,105,Kentucky,38.3021,-84.5863,1
RUSSELL,104,Kentucky,37.0073,-85.0286,1
ROWAN,103,Kentucky,38.207,-83.4425,1
ROCKCASTLE,102,Kentucky,37.3462,-84.3152,1
ROBERTSON,101,Kentucky,38.5144,-84.0653,1
PULASKI,100,Kentucky,37.1116,-84.5965,1
POWELL,99,Kentucky,37.8252,-83.7968,1
PIKE,98,Kentucky,37.471,-82.3248,2
PERRY,97,Kentucky,37.2181,-83.1793,2
PENDLETON,96,Kentucky,38.6954,-84.3654,1
OWSLEY,95,Kentucky,37.399,-83.6845,1
OWEN,94,Kentucky,38.5319,-84.8467,1
OLDHAM,93,Kentucky,38.4048,-85.4772,1
OHIO,92,Kentucky,37.4755,-86.8745,1
NICHOLAS,91,Kentucky,38.3265,-83.9972,1
NELSON,90,Kentucky,37.7582,-85.5289,1
MUHLENBERG,89,Kentucky,37.2285,-87.1373,1
MORGAN,88,Kentucky,37.9136,-83.2228,1
MONTGOMERY,87,Kentucky,38.0463,-83.92,1
MONROE,86,Kentucky,36.7285,-85.7189,1
METCALFE,85,Kentucky,37.0023,-85.6238,1
MERCER,84,Kentucky,37.8246,-84.8676,1
MENIFEE,83,Kentucky,37.9388,-83.6113,1
MEADE,82,Kentucky,37.9991,-86.2525,1
MCLEAN,75,Kentucky,37.5321,-87.2117,1
MCCREARY,74,Kentucky,36.7781,-84.4911,1
MCCRACKEN,73,Kentucky,37.0851,-88.7237,1
MASON,81,Kentucky,38.6145,-83.8041,1
MARTIN,80,Kentucky,37.8157,-82.526,2
MARSHALL,79,Kentucky,36.9053,-88.3329,1
MARION,78,Kentucky,37.5778,-85.2723,1
MAGOFFIN,77,Kentucky,37.6908,-83.0969,2
MADISON,76,Kentucky,37.7168,-84.291,1
LYON,72,Kentucky,37.0257,-88.0819,1
LOGAN,71,Kentucky,36.8586,-86.8644,1
LIVINGSTON,70,Kentucky,37.2032,-88.3267,1
LINCOLN,69,Kentucky,37.4428,-84.6585,2
LEWIS,68,Kentucky,38.5222,-83.3941,1
LETCHER,67,Kentucky,37.1142,-82.8932,1
LESLIE,66,Kentucky,37.1023,-83.3517,1
LEE,65,Kentucky,37.6037,-83.7001,1
LAWRENCE,64,Kentucky,38.0749,-82.7514,1
LAUREL,63,Kentucky,37.1377,-84.1151,1
LARUE,62,Kentucky,37.5774,-85.7119,1
KNOX,61,Kentucky,36.8716,-83.8549,1
KNOTT,60,Kentucky,37.3502,-82.9377,1
KENTON,59,Kentucky,38.9462,-84.535,1
JOHNSON,58,Kentucky,37.8526,-82.8331,2
JESSAMINE,57,Kentucky,37.866,-84.572,1
JEFFERSON,56,Kentucky,38.1944,-85.6526,1
JACKSON,55,Kentucky,37.4156,-83.9961,1
HOPKINS,54,Kentucky,37.3381,-87.5846,1
HICKMAN,53,Kentucky,36.6502,-88.9928,1
HENRY,52,Kentucky,38.4671,-85.1459,1
HENDERSON,51,Kentucky,37.8072,-87.5774,1
HART,50,Kentucky,37.2995,-85.9087,1
HARRISON,49,Kentucky,38.4301,-84.3284,1
HARLAN,48,Kentucky,36.844,-83.2797,1
HARDIN,47,Kentucky,37.726,-85.94,1
HANCOCK,46,Kentucky,37.8268,-86.7573,1
GREENUP,45,Kentucky,38.5657,-82.9522,1
GREEN,44,Kentucky,37.2912,-85.5544,1
GRAYSON,43,Kentucky,37.4721,-86.3497,1
GRAVES,42,Kentucky,36.7244,-88.6522,1
GRANT,41,Kentucky,38.6403,-84.6381,1
GARRARD,40,Kentucky,37.6516,-84.55,1
GALLATIN,39,Kentucky,38.7594,-84.9018,1
FULTON,38,Kentucky,36.5746,-89.0626,1
FRANKLIN,37,Kentucky,38.2397,-84.8667,1
FLOYD,36,Kentucky,37.5213,-82.7592,1
FLEMING,35,Kentucky,38.3482,-83.6784,2
FAYETTE,34,Kentucky,38.0282,-84.4715,1
ESTILL,33,Kentucky,37.6982,-83.9308,2
ELLIOTT,32,Kentucky,38.1318,-83.0627,1
EDMONSON,31,Kentucky,37.2033,-86.233,1
DAVIESS,30,Kentucky,37.7459,-87.0688,1
CUMBERLAND,29,Kentucky,36.7784,-85.408,1
CRITTENDEN,28,Kentucky,37.3369,-88.0854,1
CLINTON,27,Kentucky,36.7537,-85.1245,1
CLAY,26,Kentucky,37.1482,-83.7483,1
CLARK,25,Kentucky,37.9696,-84.156,1
CHRISTIAN,24,Kentucky,36.9104,-87.4781,1
CASEY,23,Kentucky,37.3273,-84.9335,1
CARTER,22,Kentucky,38.3367,-83.0088,1
CARROLL,21,Kentucky,38.6688,-85.1085,1
CARLISLE,20,Kentucky,36.8632,-88.9716,1
CAMPBELL,19,Kentucky,38.962,-84.3659,1
CALLOWAY,18,Kentucky,36.6237,-88.2703,1
CALDWELL,17,Kentucky,37.1651,-87.8705,1
BUTLER,16,Kentucky,37.1976,-86.6579,1
BULLITT,15,Kentucky,37.9623,-85.7158,1
BRECKINRIDGE,14,Kentucky,37.8123,-86.4205,1
BREATHITT,13,Kentucky,37.5153,-83.3353,1
BRACKEN,12,Kentucky,38.7151,-84.0765,1
BOYLE,11,Kentucky,37.6248,-84.8608,1
BOYD,10,Kentucky,38.3696,-82.6985,1
BOURBON,9,Kentucky,38.2195,-84.2238,2
BOONE,8,Kentucky,38.9622,-84.721,1
BELL,7,Kentucky,36.7691,-83.6441,1
BATH,6,Kentucky,38.1478,-83.7763,1
BARREN,5,Kentucky,36.9559,-85.9523,1
BALLARD,4,Kentucky,37.0728,-89.0182,1
ANDERSON,3,Kentucky,38.0072,-84.9809,2
ALLEN,2,Kentucky,36.7821,-86.2158,1
ADAIR,1,Kentucky,37.1179,-85.3011,1
